tickers
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
BRKB
LLY
AVGO
JPM
TSLA
XOM
UNH
V
PG
JNJ
MA
COST
HD
ABBV
WMT
MRK
NFLX
KO
BAC
CVX
ADBE
PEP
CRM
TMO
AMD
LIN
ORCL
ACN
MCD
ABT
CSCO
WFC
QCOM
PM
GE
DHR
IBM
TXN
AMGN
VZ
INTU
CAT
ISRG
NOW
PFE
NEE
AMAT
DIS
GS
CMCSA
RTX
SPGI
UNP
T
UBER
LOW
AXP
HON
PGR
COP
BLK
TJX
ELV
VRTX
SYK
LMT
REGN
BKNG
ETN
PLD
C
BSX
MS
MDT
CB
MMC
ADP
ADI
AMT
LRCX
MU
KLAC
BA
PANW
BMY
GILD
SO
MDLZ
TMUS
BX
SCHW
CI
FI
UPS
NKE
DE
ICE
DUK
INTC
MO
ANET
ZTS
SBUX
CL
WM
SHW
GD
SNPS
EQIX
KKR
TT
CMG
CME
APH
MCO
CDNS
CVS
EOG
PH
MCK
ITW
HCA
MMM
NOC
WELL
MSI
BDX
PNC
PYPL
TDG
CSX
ORLY
CTAS
USB
AON
FDX
SLB
TGT
APD
MPC
AJG
EMR
ECL
FCX
PLTR
CEG
AFL
PSX
TFC
CRH
ROP
NEM
AZO
NSC
CARR
APO
WMB
MRVL
CRWD
AEP
O
ADSK
DHI
COF
MAR
SPG
HLT
ABNB
OKE
VLO
SRE
PSA
SPOT
AIG
GM
TRV
DLR
GEV
CCI
PCAR
KMB
BK
JCI
ROST
URI
D
ALL
WDAY
LHX
FTNT
CPRT
DASH
IQV
FIS
GWW
HUM
FICO
MET
LNG
RSG
MCHP
LEN
MSCI
KMI
KVUE
CMI
AMP
A
CNC
COR
IDXX
PAYX
FERG
F
EA
MPWR
PEG
GIS
PRU
TTD
PCG
ODFL
YUM
STZ
SNOW
VRSK
COIN
EW
NU
SYY
PWR
FAST
OTIS
EXC
OXY
HWM
DOW
HES
CTSH
AME
RCL
IR
KDP
CTVA
IT
KR
ACGL
BKR
FANG
ED
GEHC
NUE
EFX
ALNY
EXR
CHTR
MNST
DDOG
SQ
MLM
CBRE
DD
VMC
VICI
HPQ
XEL
HIG
DFS
RMD
EIX
KHC
ON
IRM
XYL
TRGP
ROK
CSGP
HSY
GLW
AVB
MTD
BIIB
LULU
CDW
ADM
WTW
DVN
EBAY
DXCM
